,Neighbourhood_ID,Name,Demographic_ID
3,3,Arbutus-Ridge ,3
4,4,Downtown ,4
5,5,Dunbar-Southlands ,5
6,6,Fairview ,6
7,7,Grandview-Woodland ,7
8,8,Hastings-Sunrise ,8
9,9,Kensington-Cedar Cottage ,9
10,10,Kerrisdale ,10
11,11,Killarney ,11
12,12,Kitsilano ,12
13,13,Marpole ,13
14,14,Mount Pleasant ,14
15,15,Oakridge ,15
16,16,Renfrew-Collingwood ,16
17,17,Riley Park ,17
18,18,Shaughnessy ,18
19,19,South Cambie ,19
20,20,Strathcona ,20
21,21,Sunset ,21
22,22,Victoria-Fraserview,22
23,23,West End ,23
