lat,lon,n_name
49.253611,-123.1604311,Arbutus-Ridge 
49.281954,-123.1170744,Downtown 
49.249951,-123.185194,Dunbar-Southlands 
49.266031,-123.12894,Fairview 
49.269723,-123.069708,Grandview-Woodland 
49.281126,-123.044077,Hastings-Sunrise 
49.248402,-123.0701266,Kensington-Cedar Cottage 
49.2341326,-123.155351,Kerrisdale 
49.224704,-123.0410631,Killarney 
49.270937,-123.162142,Kitsilano 
49.210724,-123.130187,Marpole 
49.2582663,-123.1081802,Mount Pleasant 
49.229786,-123.1162,Oakridge 
49.2410659,-123.038755,Renfrew-Collingwood 
49.240486,-123.101472,Riley Park 
49.24533659999999,-123.1413235,Shaughnessy 
49.2451598,-123.1207856,South Cambie 
49.27375199999999,-123.0884745,Strathcona 
37.7467314,-122.4863492,Sunset 
49.2185301,-123.0658731,Victoria-Fraserview
49.285646,-123.1306209,West End 
49.260966,-123.200093,West Point Grey 
